Age,Accuracy_Audio,Accuracy_Comprehension,Accuracy_Image,Time_Audio,Time_Comprehension,Time_Image,Learning_Type
11,84,30,5,63,591,71,Auditory Learner
16,79,38,77,41,597,386,Auditory Learner
11,50,49,63,262,305,214,Visual Learner
12,44,77,81,116,400,356,Visual Learner
13,89,85,79,122,140,133,Auditory Learner
16,100,36,87,136,250,169,Auditory Learner
14,21,87,12,222,342,190,Comprehensive Learner
13,9,71,64,39,548,350,Comprehensive Learner
13,6,14,37,154,94,336,Visual Learner
13,72,50,63,157,353,291,Auditory Learner
14,88,69,13,214,101,178,Auditory Learner
8,14,22,16,88,229,310,Comprehensive Learner
12,76,24,76,211,453,396,Social Learner
13,45,94,12,103,247,362,Comprehensive Learner
10,89,45,72,31,355,151,Auditory Learner
13,84,92,5,272,444,197,Comprehensive Learner
12,86,22,5,257,123,96,Auditory Learner
16,60,9,93,77,140,229,Visual Learner
16,91,72,36,35,244,72,Auditory Learner
12,60,76,56,72,520,360,Comprehensive Learner
12,50,31,52,174,404,40,Visual Learner
12,37,50,45,156,597,170,Comprehensive Learner
12,11,40,77,275,297,48,Visual Learner
13,87,64,3,150,355,71,Auditory Learner
11,76,64,33,261,546,116,Auditory Learner
10,65,100,65,218,428,340,Comprehensive Learner
14,53,39,62,271,358,134,Visual Learner
14,38,17,60,107,149,224,Visual Learner
11,75,35,80,87,499,316,Visual Learner
14,38,30,41,210,588,62,Visual Learner
11,77,53,77,99,147,156,Social Learner
13,29,62,63,294,83,399,Visual Learner
14,47,0,16,233,391,69,Auditory Learner
12,82,51,60,199,117,364,Auditory Learner
13,30,99,29,276,523,113,Comprehensive Learner
11,24,56,42,88,248,359,Comprehensive Learner
12,67,8,92,40,523,334,Visual Learner
12,50,85,6,34,281,350,Comprehensive Learner
11,12,91,72,234,412,269,Comprehensive Learner
12,99,89,45,274,110,302,Auditory Learner
9,62,73,22,278,147,78,Comprehensive Learner
12,41,55,35,134,281,143,Comprehensive Learner
12,53,46,13,271,547,391,Auditory Learner
12,100,2,19,36,226,233,Auditory Learner
12,66,1,55,253,160,182,Auditory Learner
12,79,53,80,246,483,241,Visual Learner
13,89,36,31,73,584,246,Auditory Learner
14,55,55,24,55,206,73,Social Learner
11,18,30,93,210,321,330,Visual Learner
10,45,96,48,121,205,300,Comprehensive Learner
10,14,95,56,297,547,351,Comprehensive Learner
12,31,11,26,97,580,122,Auditory Learner
12,48,57,26,180,140,302,Comprehensive Learner
11,20,66,45,133,185,348,Comprehensive Learner
10,64,25,94,117,198,277,Visual Learner
12,69,77,44,124,198,211,Comprehensive Learner
13,26,11,25,32,131,225,Auditory Learner
14,22,89,13,237,304,81,Comprehensive Learner
11,46,15,47,131,269,267,Visual Learner
12,94,52,84,206,253,313,Auditory Learner
11,11,71,91,228,597,301,Visual Learner
12,84,48,14,37,391,171,Auditory Learner
11,65,48,93,274,570,136,Visual Learner
14,4,91,88,207,352,92,Comprehensive Learner
9,8,6,50,111,95,316,Visual Learner
12,19,14,53,141,587,233,Visual Learner
13,81,35,10,50,137,394,Auditory Learner
13,62,71,74,63,80,212,Visual Learner
18,85,73,27,284,304,379,Auditory Learner
13,71,14,54,56,454,232,Auditory Learner
10,97,61,68,37,113,184,Auditory Learner
12,72,17,91,47,152,184,Visual Learner
9,70,45,71,262,352,315,Visual Learner
12,29,100,25,220,435,299,Comprehensive Learner
11,81,60,69,179,235,370,Auditory Learner
14,90,42,31,185,249,54,Auditory Learner
11,15,43,47,76,251,352,Visual Learner
12,84,98,95,168,127,322,Comprehensive Learner
11,4,65,11,171,383,255,Comprehensive Learner
16,28,54,69,43,214,315,Visual Learner
12,46,85,76,288,513,147,Comprehensive Learner
16,100,78,60,265,285,295,Auditory Learner
14,21,100,33,36,292,118,Comprehensive Learner
13,77,38,86,68,567,57,Visual Learner
13,56,99,80,214,163,381,Comprehensive Learner
13,82,4,44,144,525,344,Auditory Learner
9,34,56,59,139,487,252,Visual Learner
12,87,14,64,94,501,248,Auditory Learner
14,59,90,70,260,185,50,Comprehensive Learner
12,69,15,12,60,95,185,Auditory Learner
10,59,56,77,115,297,74,Visual Learner
12,57,99,80,167,301,94,Comprehensive Learner
16,2,81,93,106,192,390,Visual Learner
15,33,98,47,166,286,67,Comprehensive Learner
12,44,24,48,151,462,383,Visual Learner
14,49,21,97,293,455,203,Visual Learner
12,1,30,90,126,149,148,Visual Learner
9,14,100,57,48,314,63,Comprehensive Learner
11,36,33,88,38,142,200,Visual Learner
16,14,86,98,112,559,204,Visual Learner
12,59,15,72,76,368,311,Visual Learner
12,95,69,69,119,591,151,Auditory Learner
12,84,58,60,30,143,112,Auditory Learner
16,63,14,25,191,86,89,Auditory Learner
16,80,81,38,182,438,150,Comprehensive Learner
17,97,12,57,30,389,52,Auditory Learner
12,95,23,26,175,452,110,Auditory Learner
13,51,12,39,190,276,240,Auditory Learner
9,22,64,30,164,440,330,Comprehensive Learner
15,98,35,2,106,567,63,Auditory Learner
10,36,48,87,110,342,253,Visual Learner
13,40,81,14,298,273,334,Comprehensive Learner
10,100,47,53,298,215,186,Auditory Learner
11,56,96,69,71,589,213,Comprehensive Learner
11,96,42,10,153,218,44,Auditory Learner
11,24,5,29,259,100,371,Visual Learner
11,36,80,34,231,564,399,Comprehensive Learner
11,39,67,42,136,578,377,Comprehensive Learner
14,84,13,60,203,64,46,Auditory Learner
10,45,29,39,116,80,250,Auditory Learner
13,59,83,92,34,301,310,Visual Learner
15,97,7,86,201,165,368,Auditory Learner
11,18,53,41,150,402,315,Comprehensive Learner
11,90,65,41,185,476,279,Auditory Learner
12,8,100,2,116,97,354,Comprehensive Learner
15,68,3,89,127,395,43,Visual Learner
13,4,73,77,164,532,241,Visual Learner
11,88,83,82,36,172,145,Auditory Learner
13,25,59,84,289,310,79,Visual Learner
10,18,52,20,61,404,104,Comprehensive Learner
14,29,98,72,57,130,74,Comprehensive Learner
13,99,73,76,289,323,83,Auditory Learner
12,47,91,52,273,443,302,Comprehensive Learner
11,15,14,43,293,450,189,Visual Learner
11,70,99,45,171,532,318,Comprehensive Learner
14,17,0,36,59,570,104,Visual Learner
15,55,21,37,159,193,383,Auditory Learner
11,20,90,87,295,448,315,Comprehensive Learner
13,30,92,37,99,120,71,Comprehensive Learner
8,0,14,10,148,529,392,Comprehensive Learner
11,2,73,92,99,410,203,Visual Learner
12,94,83,44,237,117,392,Auditory Learner
11,24,21,63,120,244,200,Visual Learner
11,7,49,43,149,262,364,Comprehensive Learner
11,64,47,80,236,91,121,Visual Learner
13,61,72,61,285,228,304,Comprehensive Learner
12,6,50,89,64,81,81,Visual Learner
8,6,95,60,153,138,238,Comprehensive Learner
8,7,16,89,141,195,246,Visual Learner
11,18,82,11,236,361,149,Comprehensive Learner
13,16,90,81,131,446,171,Comprehensive Learner
8,10,50,8,223,343,270,Comprehensive Learner
12,48,36,66,270,388,111,Visual Learner
11,10,97,73,176,519,367,Comprehensive Learner
15,40,48,1,161,212,163,Comprehensive Learner
12,61,58,7,249,546,236,Auditory Learner
13,51,9,42,133,250,318,Auditory Learner
13,65,29,17,70,111,146,Auditory Learner
8,67,84,51,85,400,393,Comprehensive Learner
14,91,20,38,279,584,182,Auditory Learner
13,96,33,30,271,76,90,Auditory Learner
14,74,72,13,156,301,162,Auditory Learner
18,66,97,63,179,399,89,Comprehensive Learner
8,39,49,96,178,470,378,Visual Learner
16,4,75,92,198,353,320,Visual Learner
12,84,46,43,74,87,78,Auditory Learner
13,21,84,59,113,469,363,Comprehensive Learner
12,36,83,96,37,418,367,Visual Learner
12,10,5,98,136,475,308,Visual Learner
11,43,49,1,294,241,205,Comprehensive Learner
13,85,99,98,175,399,75,Comprehensive Learner
9,52,62,31,60,412,148,Comprehensive Learner
14,76,11,35,273,128,282,Auditory Learner
12,60,40,54,64,536,163,Auditory Learner
10,66,30,86,276,384,262,Visual Learner
12,12,1,62,47,553,58,Visual Learner
15,91,15,68,53,354,76,Auditory Learner
11,10,0,79,59,268,256,Visual Learner
13,10,3,39,172,216,140,Visual Learner
11,84,46,23,41,134,232,Auditory Learner
14,84,64,57,232,346,124,Auditory Learner
14,6,51,27,279,290,272,Comprehensive Learner
16,16,46,61,132,330,78,Visual Learner
12,47,98,24,64,142,81,Comprehensive Learner
14,13,76,6,49,324,229,Comprehensive Learner
13,62,49,37,76,328,348,Auditory Learner
15,63,44,70,113,360,345,Visual Learner
11,96,41,85,297,149,400,Auditory Learner
14,74,94,85,82,419,146,Comprehensive Learner
12,76,83,90,47,359,196,Visual Learner
12,64,55,96,133,61,264,Visual Learner
13,33,70,44,181,472,57,Comprehensive Learner
13,8,56,31,194,235,99,Comprehensive Learner
12,76,32,31,113,184,181,Auditory Learner
13,36,27,0,180,237,157,Auditory Learner
16,29,43,73,66,64,207,Visual Learner
14,40,55,44,181,176,231,Comprehensive Learner
14,44,43,63,237,490,325,Visual Learner
12,100,83,67,79,449,68,Auditory Learner
11,46,95,92,249,538,196,Comprehensive Learner
14,6,72,6,76,530,58,Comprehensive Learner
14,13,33,37,47,409,129,Visual Learner
15,47,13,69,151,143,149,Visual Learner
11,5,67,52,149,286,97,Comprehensive Learner
12,33,28,74,280,512,155,Visual Learner
9,79,78,72,76,506,79,Auditory Learner
12,100,16,29,114,170,304,Auditory Learner
14,99,82,21,189,382,160,Auditory Learner
12,45,8,57,36,583,149,Visual Learner
14,58,26,72,274,598,244,Visual Learner
12,69,48,54,244,164,198,Auditory Learner
13,7,78,45,241,145,373,Comprehensive Learner
10,23,36,96,241,562,134,Visual Learner
13,66,27,25,247,565,73,Auditory Learner
8,3,49,63,280,215,281,Visual Learner
12,95,54,79,210,555,357,Auditory Learner
9,0,3,8,121,445,369,Visual Learner
15,33,84,86,247,522,352,Visual Learner
14,8,97,14,119,172,188,Comprehensive Learner
13,62,18,18,226,505,142,Auditory Learner
16,75,36,15,213,346,349,Auditory Learner
11,9,3,24,95,260,256,Visual Learner
16,9,36,98,127,438,204,Visual Learner
14,49,50,50,53,572,207,Social Learner
12,43,31,76,249,324,59,Visual Learner
15,47,44,45,203,247,148,Auditory Learner
10,86,11,6,274,416,238,Auditory Learner
11,5,40,33,143,300,272,Comprehensive Learner
11,87,55,57,295,252,211,Auditory Learner
11,23,79,77,252,169,223,Comprehensive Learner
10,84,13,22,264,558,257,Auditory Learner
15,94,53,22,139,124,56,Auditory Learner
12,57,62,16,42,124,81,Comprehensive Learner
13,63,64,12,154,376,195,Comprehensive Learner
11,93,57,26,196,154,60,Auditory Learner
9,55,95,65,82,518,190,Comprehensive Learner
13,97,20,100,215,454,150,Visual Learner
9,81,3,29,39,255,343,Auditory Learner
12,11,72,3,176,98,354,Comprehensive Learner
10,34,45,93,147,208,167,Visual Learner
16,70,85,66,47,435,91,Comprehensive Learner
14,88,11,13,255,425,312,Auditory Learner
13,5,29,10,141,515,333,Comprehensive Learner
15,64,93,39,101,335,114,Comprehensive Learner
11,79,95,86,173,569,390,Comprehensive Learner
14,59,59,95,133,297,339,Visual Learner
13,67,99,2,244,464,127,Comprehensive Learner
13,28,70,0,106,222,59,Comprehensive Learner
15,37,80,8,55,379,108,Comprehensive Learner
14,91,64,72,259,128,209,Auditory Learner
13,21,13,75,222,168,193,Visual Learner
9,7,43,0,132,239,344,Comprehensive Learner
11,62,25,15,234,191,145,Auditory Learner
12,95,90,93,289,578,366,Auditory Learner
13,96,15,71,262,514,258,Auditory Learner
10,12,6,45,80,467,313,Visual Learner
17,26,31,9,160,244,397,Comprehensive Learner
16,17,88,32,95,516,134,Comprehensive Learner
14,17,94,40,231,564,304,Comprehensive Learner
13,76,15,50,175,569,361,Auditory Learner
12,85,77,21,287,349,285,Auditory Learner
11,61,88,15,133,304,355,Comprehensive Learner
13,13,61,82,180,97,147,Visual Learner
13,10,29,74,147,174,332,Visual Learner
10,85,70,61,228,557,276,Auditory Learner
13,99,11,52,134,396,68,Auditory Learner
12,16,66,74,39,518,102,Visual Learner
9,50,90,13,142,178,54,Comprehensive Learner
11,95,45,58,56,115,277,Auditory Learner
12,13,82,25,128,483,48,Comprehensive Learner
16,56,42,43,286,179,375,Auditory Learner
14,92,100,19,165,109,361,Comprehensive Learner
10,5,54,83,255,424,40,Visual Learner
13,56,44,4,156,432,160,Auditory Learner
9,3,59,64,145,421,48,Visual Learner
15,10,70,10,200,141,352,Comprehensive Learner
12,73,79,46,241,107,223,Comprehensive Learner
12,91,31,9,218,297,187,Auditory Learner
15,10,7,60,294,441,277,Visual Learner
10,98,76,91,243,448,297,Auditory Learner
10,78,61,44,118,394,296,Auditory Learner
11,7,74,46,159,246,369,Comprehensive Learner
15,83,19,33,52,179,349,Auditory Learner
9,58,17,12,208,416,58,Auditory Learner
8,20,100,88,49,422,57,Comprehensive Learner
12,64,5,22,271,222,319,Auditory Learner
14,92,83,35,269,67,166,Auditory Learner
15,23,95,62,58,376,347,Comprehensive Learner
12,29,28,75,274,86,253,Visual Learner
12,98,3,46,149,335,315,Auditory Learner
15,96,70,65,61,531,368,Auditory Learner
9,83,42,83,169,536,246,Social Learner
12,56,83,79,187,237,227,Comprehensive Learner
13,79,33,13,89,419,55,Auditory Learner
13,72,99,52,168,295,180,Comprehensive Learner
11,94,70,65,241,92,45,Auditory Learner
13,16,32,48,168,600,320,Visual Learner
8,58,14,15,140,159,358,Auditory Learner
11,30,95,67,280,389,214,Comprehensive Learner
13,63,85,42,128,124,54,Comprehensive Learner
11,47,39,76,207,181,349,Visual Learner
13,22,92,64,30,535,167,Comprehensive Learner
13,69,88,8,118,186,53,Comprehensive Learner
12,29,4,20,142,245,288,Auditory Learner
13,54,77,81,145,150,73,Visual Learner
11,6,49,95,61,105,59,Visual Learner
12,74,98,97,291,84,289,Comprehensive Learner
14,97,65,83,70,408,311,Auditory Learner
13,11,88,42,196,494,234,Comprehensive Learner
11,59,53,65,250,389,277,Visual Learner
13,51,79,3,243,353,142,Comprehensive Learner
14,26,45,6,160,305,346,Comprehensive Learner
8,11,79,85,77,225,282,Visual Learner
15,12,10,83,163,316,254,Visual Learner
12,71,48,57,36,411,282,Auditory Learner
13,79,98,98,73,248,116,Comprehensive Learner
15,61,22,3,115,334,160,Auditory Learner
10,28,54,19,77,93,341,Comprehensive Learner
11,34,4,34,269,549,79,Solitary Learner
12,59,63,96,181,558,68,Visual Learner
11,28,34,58,287,304,271,Visual Learner
16,30,92,84,73,313,184,Comprehensive Learner
11,76,68,44,197,168,288,Auditory Learner
11,75,53,13,220,382,132,Auditory Learner
13,60,2,94,181,173,364,Visual Learner
10,1,5,21,79,544,124,Visual Learner
12,32,86,47,124,337,361,Comprehensive Learner
13,71,55,29,271,88,285,Auditory Learner
12,61,1,28,134,457,114,Auditory Learner
12,58,81,35,289,281,190,Comprehensive Learner
11,39,93,41,167,377,174,Comprehensive Learner
9,48,37,28,212,330,229,Auditory Learner
13,31,55,6,86,457,73,Comprehensive Learner
16,37,4,31,269,510,397,Auditory Learner
13,91,45,12,134,402,144,Auditory Learner
13,78,10,12,94,440,90,Auditory Learner
14,86,64,53,169,435,211,Auditory Learner
10,87,9,13,91,399,109,Auditory Learner
16,12,40,5,181,66,247,Comprehensive Learner
13,84,43,15,159,332,361,Auditory Learner
16,53,89,40,155,347,135,Comprehensive Learner
11,75,32,51,241,243,97,Auditory Learner
16,12,90,84,191,245,159,Comprehensive Learner
14,38,55,15,234,539,210,Comprehensive Learner
14,22,11,4,58,316,150,Auditory Learner
13,91,1,23,211,563,100,Auditory Learner
12,13,0,42,80,169,295,Visual Learner
15,16,64,64,264,207,195,Solitary Learner
13,23,32,9,43,273,224,Comprehensive Learner
9,57,85,58,87,496,80,Comprehensive Learner
10,62,75,34,166,393,240,Comprehensive Learner
12,33,35,30,157,488,89,Comprehensive Learner
13,50,20,78,66,155,129,Visual Learner
12,85,83,10,297,107,276,Auditory Learner
15,9,35,8,114,337,385,Comprehensive Learner
9,71,25,65,239,262,364,Auditory Learner
13,20,46,43,168,258,376,Comprehensive Learner
9,36,94,93,56,567,321,Comprehensive Learner
14,6,0,15,262,388,193,Visual Learner
12,89,37,47,200,183,219,Auditory Learner
13,12,13,52,207,259,127,Visual Learner
11,79,89,64,49,134,144,Comprehensive Learner
15,29,45,47,293,216,112,Visual Learner
15,30,41,69,226,193,296,Visual Learner
14,4,6,45,93,371,173,Visual Learner
12,31,54,74,73,179,324,Visual Learner
14,15,55,32,273,71,275,Comprehensive Learner
11,72,75,51,41,179,148,Comprehensive Learner
14,21,62,80,289,142,383,Visual Learner
16,63,23,54,286,287,176,Auditory Learner
15,43,82,50,264,245,376,Comprehensive Learner
11,39,72,97,276,270,274,Visual Learner
13,36,98,39,170,102,98,Comprehensive Learner
10,77,3,24,210,568,333,Auditory Learner
14,15,41,62,182,132,81,Visual Learner
13,42,95,21,73,78,287,Comprehensive Learner
9,83,69,89,138,224,89,Visual Learner
10,62,27,90,127,326,309,Visual Learner
12,14,91,37,256,499,395,Comprehensive Learner
12,43,39,8,110,187,212,Auditory Learner
10,89,50,36,247,512,328,Auditory Learner
13,8,28,4,178,360,201,Comprehensive Learner
13,64,41,81,105,377,106,Visual Learner
12,98,68,21,109,93,379,Auditory Learner
11,43,4,11,81,157,362,Auditory Learner
15,19,100,59,92,269,365,Comprehensive Learner
16,69,40,43,113,375,260,Auditory Learner
12,73,60,21,284,379,206,Auditory Learner
11,32,54,5,88,494,210,Comprehensive Learner
13,79,27,99,37,315,262,Visual Learner
12,99,40,26,105,464,206,Auditory Learner
12,5,8,54,107,513,124,Visual Learner
14,82,28,14,153,248,154,Auditory Learner
9,30,77,63,41,447,339,Comprehensive Learner
15,65,37,16,74,202,392,Auditory Learner
13,17,61,2,82,281,89,Comprehensive Learner
12,27,53,9,210,499,357,Comprehensive Learner
12,67,51,62,263,591,257,Auditory Learner
12,64,33,62,215,339,298,Auditory Learner
9,79,36,88,104,307,175,Visual Learner
15,44,48,61,227,175,343,Visual Learner
13,57,41,84,108,464,135,Visual Learner
13,46,13,8,262,314,208,Auditory Learner
14,65,81,23,197,356,352,Comprehensive Learner
10,51,32,31,52,584,264,Auditory Learner
13,35,97,2,259,393,380,Comprehensive Learner
12,0,91,32,164,130,385,Comprehensive Learner
14,38,99,42,67,118,373,Comprehensive Learner
8,86,100,11,261,110,323,Comprehensive Learner
12,89,86,92,197,75,387,Visual Learner
11,74,16,84,132,563,380,Visual Learner
13,0,74,97,174,110,226,Visual Learner
13,74,31,96,272,187,333,Visual Learner
11,87,100,31,177,229,360,Comprehensive Learner
11,73,78,19,182,239,321,Comprehensive Learner
12,13,67,66,155,387,282,Comprehensive Learner
11,77,38,67,221,360,66,Auditory Learner
14,70,93,16,112,310,190,Comprehensive Learner
12,22,9,80,50,577,238,Visual Learner
8,42,86,18,297,321,317,Comprehensive Learner
12,21,23,3,150,150,266,Comprehensive Learner
10,59,99,92,140,253,235,Comprehensive Learner
9,99,57,16,108,388,260,Auditory Learner
10,26,68,63,114,123,396,Comprehensive Learner
13,55,100,21,109,353,267,Comprehensive Learner
15,1,63,65,180,285,106,Visual Learner
13,38,18,41,273,504,364,Visual Learner
11,50,100,75,247,393,377,Comprehensive Learner
13,18,7,44,44,122,137,Visual Learner
12,61,70,10,130,556,54,Comprehensive Learner
11,70,39,52,297,591,153,Auditory Learner
10,75,12,59,64,518,143,Auditory Learner
9,66,100,28,154,392,346,Comprehensive Learner
12,62,26,19,253,304,232,Auditory Learner
13,4,81,4,190,123,253,Comprehensive Learner
12,71,87,24,42,325,184,Comprehensive Learner
12,77,1,33,194,221,136,Auditory Learner
11,60,15,11,287,104,91,Auditory Learner
14,99,13,27,143,84,97,Auditory Learner
10,70,16,97,149,359,248,Visual Learner
14,6,59,5,98,284,224,Comprehensive Learner
10,49,69,18,77,133,205,Comprehensive Learner
11,45,98,11,87,175,108,Comprehensive Learner
10,95,16,24,107,211,162,Auditory Learner
11,71,44,12,233,150,76,Auditory Learner
14,75,37,80,254,348,274,Visual Learner
14,73,63,75,292,151,114,Visual Learner
14,13,5,2,132,446,147,Auditory Learner
14,72,59,23,138,474,330,Auditory Learner
10,93,48,7,294,600,334,Auditory Learner
12,68,20,99,85,231,213,Visual Learner
11,64,98,89,281,431,157,Comprehensive Learner
15,64,22,44,101,557,183,Auditory Learner
10,56,75,71,170,295,383,Comprehensive Learner
14,61,56,95,209,101,198,Visual Learner
14,19,63,95,232,208,309,Visual Learner
16,74,28,0,300,537,280,Auditory Learner
12,25,26,2,139,179,86,Comprehensive Learner
14,43,5,64,111,588,372,Visual Learner
17,66,20,14,113,600,141,Auditory Learner
11,69,70,49,286,107,312,Comprehensive Learner
9,61,40,19,222,445,163,Auditory Learner
9,44,79,2,168,187,223,Comprehensive Learner
14,10,4,60,250,561,203,Visual Learner
9,71,14,14,218,506,209,Auditory Learner
12,92,20,58,226,98,121,Auditory Learner
13,73,57,53,103,532,186,Auditory Learner
13,33,3,59,227,192,174,Visual Learner
13,87,68,36,289,178,350,Auditory Learner
13,45,6,20,228,383,197,Auditory Learner
15,80,34,22,166,111,371,Auditory Learner
11,31,35,98,204,195,242,Visual Learner
11,74,14,17,162,463,159,Auditory Learner
11,97,91,16,56,228,68,Auditory Learner
14,87,1,30,286,576,201,Auditory Learner
14,4,56,63,80,419,201,Visual Learner
13,62,4,47,173,296,381,Auditory Learner
15,28,70,25,265,127,41,Comprehensive Learner
10,47,85,21,189,209,86,Comprehensive Learner
16,97,94,44,300,540,139,Auditory Learner
16,15,31,35,183,474,263,Visual Learner
14,24,71,63,66,280,96,Comprehensive Learner
16,100,40,34,246,320,161,Auditory Learner
9,71,41,74,159,325,184,Visual Learner
11,28,74,90,105,518,393,Visual Learner
11,51,64,97,226,115,193,Visual Learner
14,45,39,81,246,467,177,Visual Learner
10,24,82,26,128,528,78,Comprehensive Learner
14,22,37,67,259,302,304,Visual Learner
15,33,41,16,138,573,320,Comprehensive Learner
14,66,36,69,193,228,187,Visual Learner
13,93,55,10,145,492,54,Auditory Learner
11,33,70,4,100,344,271,Comprehensive Learner
11,31,54,57,243,513,152,Visual Learner
15,28,88,81,82,247,386,Comprehensive Learner
14,8,53,56,114,355,178,Visual Learner
12,65,21,88,105,582,183,Visual Learner
12,56,26,73,296,441,191,Visual Learner
8,38,46,79,277,402,281,Visual Learner
10,6,37,73,108,282,187,Visual Learner
16,68,38,73,136,394,303,Visual Learner
10,7,14,99,111,516,310,Visual Learner
13,95,65,84,231,507,116,Auditory Learner
15,17,60,13,259,396,117,Comprehensive Learner
10,81,59,71,256,414,342,Auditory Learner
13,48,7,0,49,415,255,Auditory Learner
14,15,43,15,297,291,158,Comprehensive Learner
13,20,42,25,207,326,268,Comprehensive Learner
18,9,5,48,169,249,191,Visual Learner
9,3,83,41,109,107,342,Comprehensive Learner
15,43,26,69,211,343,57,Visual Learner
12,7,44,65,103,114,209,Visual Learner
14,54,22,52,176,398,135,Auditory Learner
13,18,80,8,262,178,204,Comprehensive Learner
11,63,12,68,171,61,72,Visual Learner
13,39,67,39,179,283,279,Comprehensive Learner
9,50,83,55,161,262,387,Comprehensive Learner
14,8,63,4,268,70,312,Comprehensive Learner
13,29,24,55,191,318,85,Visual Learner
14,55,85,71,279,357,118,Comprehensive Learner
15,80,51,4,157,256,390,Auditory Learner
13,43,47,68,111,474,201,Visual Learner
13,58,60,51,261,392,298,Comprehensive Learner
11,14,16,80,60,212,95,Visual Learner
11,67,39,72,263,435,179,Visual Learner
15,69,74,97,113,193,65,Visual Learner
15,60,88,32,71,175,191,Comprehensive Learner
12,79,68,21,231,126,355,Auditory Learner
13,89,84,84,280,315,97,Auditory Learner
11,100,25,14,114,247,265,Auditory Learner
15,22,79,64,212,98,303,Comprehensive Learner
14,76,55,70,295,539,290,Auditory Learner
16,46,39,22,100,386,243,Auditory Learner
11,16,84,5,51,189,65,Comprehensive Learner
12,56,95,83,105,122,88,Comprehensive Learner
13,53,67,57,298,156,338,Comprehensive Learner
14,90,7,25,197,471,250,Auditory Learner
12,51,72,11,269,589,60,Comprehensive Learner
11,21,44,76,80,505,394,Visual Learner
14,100,16,76,112,295,128,Auditory Learner
14,82,40,1,119,144,316,Auditory Learner
11,38,76,31,42,414,53,Comprehensive Learner
15,98,8,49,186,461,175,Auditory Learner
15,12,69,94,228,225,46,Visual Learner
13,77,90,60,183,287,267,Comprehensive Learner
13,94,100,10,227,426,138,Comprehensive Learner
14,65,23,100,253,469,226,Visual Learner
11,51,72,67,147,119,169,Comprehensive Learner
13,100,10,33,180,223,364,Auditory Learner
8,13,34,79,273,289,211,Visual Learner
14,72,28,94,104,216,105,Visual Learner
9,73,7,88,242,433,57,Visual Learner
16,62,16,7,273,301,246,Auditory Learner
12,70,70,7,207,227,183,Solitary Learner
12,27,11,97,137,180,307,Visual Learner
11,88,78,14,206,61,355,Auditory Learner
12,45,92,4,203,177,349,Comprehensive Learner
15,27,49,18,122,566,79,Comprehensive Learner
8,1,23,73,129,433,210,Visual Learner
15,16,36,8,210,167,189,Comprehensive Learner
13,58,77,56,188,358,43,Comprehensive Learner
10,51,10,53,125,492,316,Visual Learner
10,3,98,28,261,171,209,Comprehensive Learner
16,76,80,100,280,465,386,Visual Learner
11,81,58,18,96,559,336,Auditory Learner
10,2,54,76,266,78,135,Visual Learner
15,36,26,45,48,79,75,Visual Learner
13,96,66,79,236,565,161,Auditory Learner
11,23,59,61,132,213,312,Visual Learner
13,71,1,93,188,574,221,Visual Learner
10,34,67,59,224,537,386,Comprehensive Learner
15,1,17,4,80,443,397,Comprehensive Learner
15,32,19,32,253,257,101,Solitary Learner
14,75,84,82,231,238,157,Comprehensive Learner
13,85,62,54,121,587,379,Auditory Learner
16,76,77,18,184,106,291,Comprehensive Learner
12,9,71,16,205,242,352,Comprehensive Learner
10,80,1,87,139,413,138,Visual Learner
13,61,89,91,252,546,328,Visual Learner
17,42,82,41,208,275,290,Comprehensive Learner
10,68,41,100,255,482,65,Visual Learner
12,58,27,21,104,68,127,Auditory Learner
13,8,28,38,100,272,319,Visual Learner
12,76,68,79,238,198,326,Visual Learner
11,59,27,98,132,380,322,Visual Learner
15,62,59,26,70,150,88,Auditory Learner
17,51,89,75,59,374,112,Comprehensive Learner
13,22,4,45,272,171,233,Visual Learner
11,29,14,27,81,172,237,Auditory Learner
9,42,72,51,86,433,192,Comprehensive Learner
13,67,31,64,219,322,55,Auditory Learner
15,20,51,38,108,427,148,Comprehensive Learner
13,42,89,17,225,437,126,Comprehensive Learner
12,72,36,86,226,104,160,Visual Learner
11,6,14,21,60,330,236,Visual Learner
10,15,40,67,59,554,184,Visual Learner
14,22,3,10,142,306,48,Auditory Learner
14,57,52,81,167,233,385,Visual Learner
9,86,99,63,251,95,308,Comprehensive Learner
16,30,83,70,201,361,279,Comprehensive Learner
14,68,26,84,184,217,57,Visual Learner
15,5,20,56,249,92,140,Visual Learner
10,64,59,34,41,441,84,Auditory Learner
10,58,85,36,114,483,327,Comprehensive Learner
12,27,63,49,251,354,46,Comprehensive Learner
14,17,70,29,78,474,315,Comprehensive Learner
16,87,46,16,209,378,276,Auditory Learner
14,76,53,32,39,84,229,Auditory Learner
12,96,30,15,290,493,53,Auditory Learner
10,9,16,14,215,118,304,Comprehensive Learner
15,6,49,12,258,236,395,Comprehensive Learner
11,36,6,2,187,104,216,Auditory Learner
16,95,82,23,50,511,129,Auditory Learner
12,44,27,22,45,368,132,Auditory Learner
16,85,9,58,144,213,55,Auditory Learner
14,15,26,54,35,199,262,Visual Learner
12,87,12,64,288,444,191,Auditory Learner
11,13,65,31,69,92,175,Comprehensive Learner
12,10,85,96,261,430,257,Visual Learner
13,82,83,59,36,237,374,Comprehensive Learner
13,86,59,29,122,419,289,Auditory Learner
11,33,42,65,50,495,177,Visual Learner
